global_env_steps,update_idx,phase,rl_variant,init_mode,steps_per_sec,elapsed_sec,eta_sec,mean_episode_return,mean_terminal_lambda2_norm,mean_init_edges,mean_init_lambda2,mean_init_build_runtime_sec,mean_init_cache_hit,policy_loss,value_loss,entropy,approx_kl,learning_rate,selector_loss,selector_recall_at_k,selector_k_mean,selector_learning_rate,best_eval_metric
200,0,phase_a_12_16,full,path,61.958931768941845,3.2279446125030518,19364.439730405807,1.7583376689671724,0.0889043857358236,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,-1e+18
400,0,phase_a_12_16,full,path,110.1804520709383,3.6304080486297607,10887.593737840652,1.9886946358296647,0.2281668227351901,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,-1e+18
600,0,phase_a_12_16,full,path,146.54732927766034,4.094240427017212,8184.386613607407,2.2627681142101954,0.32764748727678844,12.916666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,-1e+18
800,0,phase_a_12_16,full,path,180.52950299071782,4.431408643722534,6642.681556940079,2.351354799908429,0.32936236763298915,12.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,-1e+18
1000,0,phase_a_12_16,full,path,209.6011560110144,4.770966053009033,5720.388297557831,2.4403282437121927,0.3348347735599473,12.952380952380953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,-1e+18
1200,0,phase_a_12_16,full,path,231.70507345220048,5.17899751663208,5173.818519115448,2.452460943529897,0.35068685586641135,12.925925925925926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,-1e+18
1400,0,phase_a_12_16,full,path,250.8493297499173,5.5810394287109375,4778.167042323521,2.4192960409148516,0.3246853887018034,13.064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,-1e+18
1600,0,phase_a_12_16,full,path,266.49942297192433,6.003765344619751,4496.8202431201935,2.462704653825898,0.3361731497085554,12.942857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,-1e+18
1800,0,phase_a_12_16,full,path,280.85719295077666,6.408951044082642,4266.225078344345,2.522571806603538,0.34477205765187613,13.102564102564102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,-1e+18
2000,0,phase_a_12_16,full,path,246.91671559460687,8.099897146224976,4851.83839058876,2.529938324643802,0.34232173381829123,13.090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.2509384419322604
