global_env_steps,update_idx,phase,rl_variant,init_mode,steps_per_sec,elapsed_sec,eta_sec,mean_episode_return,mean_terminal_lambda2_norm,mean_init_edges,mean_init_lambda2,mean_init_build_runtime_sec,mean_init_cache_hit,policy_loss,value_loss,entropy,approx_kl,learning_rate,selector_loss,selector_recall_at_k,selector_k_mean,selector_learning_rate,best_eval_metric
2000,1,phase_lite,full,path,281.4327120947376,7.106494426727295,63.95844984054565,0.4560962237970136,0.4653790497637518,8.90677966101695,0.0,0.0,0.0,-0.0017514003557153046,0.015053951748996042,3.192497316747904,0.0007678554393351078,0.00028421052631578947,0.0,0.0,0.0,0.0,0.8887483640230408
4000,3,phase_lite,full,path,200.94250486980172,19.90619158744812,79.62476634979248,0.476905380673596,0.48818675241907517,9.105,0.0,0.0,0.0,-0.005039978859713301,0.012301711263717152,3.2366517074406147,0.00424840805499116,0.00025263157894736836,0.0,0.0,0.0,0.0,0.8952169052803537
6000,5,phase_lite,full,path,184.86352765623553,32.45637512207031,75.73154195149739,0.5261844681856911,0.5598341011103465,9.1,0.0,0.0,0.0,-0.01300127332797274,0.011707709316397086,3.0219364315271378,0.0016640092799207196,0.00022105263157894738,0.0,0.0,0.0,0.0,0.8952169052803537
8000,7,phase_lite,full,path,177.79910684891422,44.99460172653198,67.49190258979797,0.5204362813373412,0.5653989671890194,9.035,0.0,0.0,0.0,-0.007257928809849545,0.0084305615600897,3.16144110634923,0.007832076065824367,0.0001894736842105263,0.0,0.0,0.0,0.0,0.8952169052803538
10000,9,phase_lite,full,path,173.8830646936584,57.50991344451904,57.50991344451904,0.5038988660651069,0.5475239009391115,9.105,0.0,0.0,0.0,-0.008572845399612561,0.005957754146947991,3.111529055982828,0.009100264986045659,0.00015789473684210527,0.0,0.0,0.0,0.0,0.8952169052803538
12000,11,phase_lite,full,path,171.3223578649817,70.04339742660522,46.69559828440349,0.5063511174355506,0.5529572053220153,9.08,0.0,0.0,0.0,-0.001503553765360266,0.003307610928459326,3.111138254404068,0.017826985829742625,0.00012631578947368418,0.0,0.0,0.0,0.0,0.8952169052803538
14000,13,phase_lite,full,path,169.4883750733679,82.60153532028198,35.400657994406565,0.5135194157846595,0.5724615147304045,9.105,0.0,0.0,0.0,-0.009634637739509344,0.00328324656948098,3.0587399005889893,0.012607568423845805,9.473684210526315e-05,0.0,0.0,0.0,0.0,0.8952169052803538
16000,15,phase_lite,full,path,168.26657979474314,95.08721232414246,23.771803081035614,0.5103864097624707,0.5682711379839571,9.14,0.0,0.0,0.0,0.0009913657559081912,0.002971294819872128,3.1018788293004036,0.018443488785123918,6.315789473684209e-05,0.0,0.0,0.0,0.0,0.8952169052803538
18000,17,phase_lite,full,path,165.63956277615824,108.66969037055969,12.074410041173298,0.5313408167874295,0.5993605021085024,9.15,0.0,0.0,0.0,0.001006835576845333,0.0029781406301481184,2.8990751914680004,0.012584437819896266,3.1578947368421045e-05,0.0,0.0,0.0,0.0,0.8952169052803538
20000,19,phase_lite,full,path,160.16590212944016,124.87052321434021,0.0,0.5466622798294075,0.6289738877030814,9.03,0.0,0.0,0.0,-0.0013114392131683417,0.0038986156760074664,3.0740612484514713,0.00471116830885876,0.0,0.0,0.0,0.0,0.0,0.8952169052803538
2000,1,phase_lite,full,path,223.42270224022022,8.95164179801941,80.56477618217468,0.4560962237970136,0.4653790497637518,8.90677966101695,0.0,0.0,0.0,-0.0017514003557153046,0.015053951748996042,3.192497316747904,0.0007678554393351078,0.00028421052631578947,0.0,0.0,0.0,0.0,0.8887483640230408
4000,3,phase_lite,full,path,163.3775139967065,24.483173370361328,97.93269348144531,0.476905380673596,0.48818675241907517,9.105,0.0,0.0,0.0,-0.005039978859713301,0.012301711263717152,3.2366517074406147,0.00424840805499116,0.00025263157894736836,0.0,0.0,0.0,0.0,0.8952169052803537
6000,5,phase_lite,full,path,149.00981203849253,40.26580476760864,93.9535444577535,0.5261844681856911,0.5598341011103465,9.1,0.0,0.0,0.0,-0.01300127332797274,0.011707709316397086,3.0219364315271378,0.0016640092799207196,0.00022105263157894738,0.0,0.0,0.0,0.0,0.8952169052803537
8000,7,phase_lite,full,path,141.79694246218358,56.41870594024658,84.62805891036987,0.5204362813373412,0.5653989671890194,9.035,0.0,0.0,0.0,-0.007257928809849545,0.0084305615600897,3.16144110634923,0.007832076065824367,0.0001894736842105263,0.0,0.0,0.0,0.0,0.8952169052803538
