method,n,density_bucket,lambda2_mean,lambda2_std,density_points_in_bucket
RL+Backbone,12,dense,9.51596271250603,0.6465815144350848,5
RL+Backbone,12,medium,6.6019823527988475,1.7912680941970531,5
RL+Backbone,12,sparse,2.420884618413079,0.9092799729647939,5
RL+Backbone,16,dense,13.415429241062814,1.0273447352154788,5
RL+Backbone,16,medium,8.919694995619993,2.5783556163786745,5
RL+Backbone,16,sparse,3.3057708519671416,1.1968660173412755,5
RL+Backbone,24,dense,20.88449381495829,1.8224196478683752,5
RL+Backbone,24,medium,12.645947350830102,3.118467927467102,5
RL+Backbone,24,sparse,3.614667704929656,1.8137145660730538,5
RL+Backbone,32,dense,27.59037740813357,2.595607443714741,5
RL+Backbone,32,medium,16.855997711648172,4.649097600921456,5
RL+Backbone,32,sparse,4.943733291933979,2.515362022097741,5
RL+Backbone,48,dense,40.804841828985346,4.911360528298073,5
RL+Backbone,48,medium,23.601515000874095,5.630243779773686,5
RL+Backbone,48,sparse,6.783107894867863,4.282075862383534,5
RL+Backbone,91,dense,77.94090390746548,8.762562278628389,5
RL+Backbone,91,medium,45.534213071326995,11.246923672976662,5
RL+Backbone,91,sparse,11.945688131594844,8.07142073312983,5
RL+Path,12,dense,11.452923548997045,0.5674211375011,5
RL+Path,12,medium,9.354958370658956,1.070345052102803,5
RL+Path,12,sparse,4.455042616672189,2.4446600252735884,5
RL+Path,16,dense,15.02888577449184,1.1505987463504836,5
RL+Path,16,medium,8.227122418827623,3.239179004376287,5
RL+Path,16,sparse,5.92327646417675,3.571852461514803,5
RL+Path,24,dense,22.47747987919925,1.7387291511992322,5
RL+Path,24,medium,11.93846923480454,2.683463650854834,5
RL+Path,24,sparse,3.9466333824465445,2.4959244293936123,5
RL+Path,32,dense,27.995641740137977,3.149268242695183,5
RL+Path,32,medium,14.74911800366188,4.308308360097292,5
RL+Path,32,sparse,2.649949483492653,3.1631787125472535,5
RL+Path,48,dense,41.13480541405221,7.287963645854425,5
RL+Path,48,medium,22.9437133700671,7.324422432701377,5
RL+Path,48,sparse,10.187656470871605,9.182461995331774,5
RL+Path,91,dense,73.12034909142508,11.113124090026432,5
RL+Path,91,medium,40.71534090569851,10.039040430495257,5
RL+Path,91,sparse,11.382171033154709,6.907629804702108,5
