method,n,runtime_mean_over_density_s,runtime_std_over_density_s,density_points,avg_repeats_per_point,min_repeats_per_point,max_repeats_per_point
RL+Backbone,12,0.004288733333317699,0.0023576246298818004,15,5.0,5,5
RL+Backbone,16,0.007260557333405207,0.003920943142025618,15,5.0,5,5
RL+Backbone,24,0.011519196000117516,0.0059458205276631745,15,5.0,5,5
RL+Backbone,32,0.01822236933335565,0.008188224362933613,15,5.0,5,5
RL+Backbone,48,0.04778743866661292,0.019588118716702595,15,5.0,5,5
RL+Backbone,91,0.2424784666666286,0.13790058611715347,15,5.0,5,5
RL+Path,12,0.024796849333312516,0.014996713124626668,15,5.0,5,5
RL+Path,16,0.05271689466667642,0.03483698094816804,15,5.0,5,5
RL+Path,24,0.14100407733332154,0.09131605688765111,15,5.0,5,5
RL+Path,32,0.29790920666671206,0.2025247284829321,15,5.0,5,5
RL+Path,48,0.9223945373332996,0.6417908782922097,15,5.0,5,5
RL+Path,91,6.99733195866674,5.4451892132519,15,5.0,5,5
