method,n,delta_lambda2_mean_over_density,delta_lambda2_std_over_density,delta_lambda2_pct_mean_over_density,delta_lambda2_pct_std_over_density,win_pct_vs_rl_path_over_all_points,tie_pct_vs_rl_path_over_all_points,win_count,tie_count,total_points,density_points,avg_repeats_per_point
RL+Backbone,12,-2.2413649508700777,1.5077108672968882,-24.291858436489512,25.266536466446894,13.333333333333334,0.0,10,0,75,15,5.0
RL+Backbone,16,-1.179463189615422,2.778617414843658,-1.217221298111602,43.12483510565894,33.333333333333336,0.0,25,0,75,15,5.0
RL+Backbone,24,-0.40582454191076206,2.0226941769997455,14.492220261038334,55.458078059539,46.666666666666664,0.0,35,0,75,15,5.0
RL+Backbone,32,1.3317997281410698,2.0731604556367893,119.67446522189879,284.31063790383405,73.33333333333333,0.0,55,0,75,15,5.0
RL+Backbone,48,-1.0255701767545367,5.040584848237327,31.32992960633851,124.7474465439333,40.0,0.0,30,0,75,15,5.0
RL+Backbone,91,3.4009813600363357,3.642191259257495,75.01610159849803,253.646249052047,88.0,0.0,66,0,75,15,5.0
RL+Path,12,0.0,0.0,0.0,0.0,0.0,100.0,0,75,75,15,5.0
RL+Path,16,0.0,0.0,0.0,0.0,0.0,100.0,0,75,75,15,5.0
RL+Path,24,0.0,0.0,0.0,0.0,0.0,100.0,0,75,75,15,5.0
RL+Path,32,0.0,0.0,0.0,0.0,0.0,100.0,0,75,75,15,5.0
RL+Path,48,0.0,0.0,0.0,0.0,0.0,100.0,0,75,75,15,5.0
RL+Path,91,0.0,0.0,0.0,0.0,0.0,100.0,0,75,75,15,5.0
