method,n,density_bucket,lambda2_mean,lambda2_std,density_points_in_bucket
RL+Backbone,12,dense,9.55168349344394,0.6606485070165466,5
RL+Backbone,12,medium,6.75765778361731,1.946941983000062,5
RL+Backbone,12,sparse,2.3886885985363024,0.8761563737860895,5
RL+Backbone,16,dense,13.495850212245387,1.0216999102718625,5
RL+Backbone,16,medium,9.18181245851203,2.4851867048038723,5
RL+Backbone,16,sparse,3.3160533864477557,1.201148641799481,5
RL+Backbone,24,dense,21.05918343722174,1.6005948151791527,5
RL+Backbone,24,medium,12.659380153481674,3.0957473572092,5
RL+Backbone,24,sparse,3.7904030282960717,1.8876374431557146,5
RL+Backbone,32,dense,28.030323749744394,2.4282791608087035,5
RL+Backbone,32,medium,16.861342628008494,4.920802593714432,5
RL+Backbone,32,sparse,4.949746686070087,2.5087338694443932,5
RL+Backbone,48,dense,40.85930591728223,4.922055449015803,5
RL+Backbone,48,medium,23.70318925076438,5.674277488915711,5
RL+Backbone,48,sparse,6.891733029007507,4.387906902134279,5
RL+Backbone,91,dense,77.22010663997276,8.707526018224872,5
RL+Backbone,91,medium,45.513049819128206,11.205374304068524,5
RL+Backbone,91,sparse,11.982245657307784,8.100471674455417,5
RL+Path,12,dense,11.654980945698508,0.42007898670747956,5
RL+Path,12,medium,9.394771875110084,1.0080673537443878,5
RL+Path,12,sparse,4.470851707698967,2.435226702796341,5
RL+Path,16,dense,14.037466099309288,1.499983166394173,5
RL+Path,16,medium,9.253394526545236,3.488053861958542,5
RL+Path,16,sparse,5.935906326139814,3.577912922067662,5
RL+Path,24,dense,22.21308699879326,1.9050550294753448,5
RL+Path,24,medium,12.187354736729457,4.383128219083339,5
RL+Path,24,sparse,3.9071809159836293,2.4735062223658266,5
RL+Path,32,dense,28.6757960688867,2.653023733284952,5
RL+Path,32,medium,14.658356591217672,4.685545829455913,5
RL+Path,32,sparse,2.479150283929319,2.676834851259435,5
RL+Path,48,dense,41.25644585974757,7.01165718548389,5
RL+Path,48,medium,20.568411633527198,5.4451043983217025,5
RL+Path,48,sparse,6.588286816784217,4.429335233987086,5
RL+Path,91,dense,73.56971535673364,10.621171429164193,5
RL+Path,91,medium,39.955083253468295,9.594633936489227,5
RL+Path,91,sparse,11.038548817365077,6.519550688087028,5
