method,n,runtime_mean_over_density_s,runtime_std_over_density_s,density_points,avg_repeats_per_point,min_repeats_per_point,max_repeats_per_point
RL+Backbone,12,0.004258176000063636,0.0021922231774235417,15,5.0,5,5
RL+Backbone,16,0.007399726666711407,0.003955713897976173,15,5.0,5,5
RL+Backbone,24,0.0107796146666927,0.005705867007769567,15,5.0,5,5
RL+Backbone,32,0.01632951466661325,0.007053116241769278,15,5.0,5,5
RL+Backbone,48,0.03932749600000534,0.01638067976242132,15,5.0,5,5
RL+Backbone,91,0.25149813333331017,0.14400277548278712,15,5.0,5,5
RL+Path,12,0.024066468000055467,0.014284501137480659,15,5.0,5,5
RL+Path,16,0.048094836000030526,0.030028111431542097,15,5.0,5,5
RL+Path,24,0.12623034533338798,0.08130232445169995,15,5.0,5,5
RL+Path,32,0.27324132000002765,0.18825133763577714,15,5.0,5,5
RL+Path,48,0.7882578186667768,0.5330551289892057,15,5.0,5,5
RL+Path,91,6.35038937199999,5.2500688753633655,15,5.0,5,5
