method,n,delta_lambda2_mean_over_density,delta_lambda2_std_over_density,delta_lambda2_pct_mean_over_density,delta_lambda2_pct_std_over_density,win_pct_vs_rl_path_over_all_points,tie_pct_vs_rl_path_over_all_points,win_count,tie_count,total_points,density_points,avg_repeats_per_point
RL+Backbone,12,-2.274191550970002,1.5962769067273377,-24.480020795539467,25.992284422405984,13.333333333333334,0.0,10,0,75,15,5.0
RL+Backbone,16,-1.0776836315963891,2.468816444456421,-2.827065893905278,37.216504258465,40.0,0.0,30,0,75,15,5.0
RL+Backbone,24,-0.2662186775022857,2.2601934558897394,17.796611662617245,55.91660364575691,46.666666666666664,0.0,35,0,75,15,5.0
RL+Backbone,32,1.3427033732630977,2.430487557041986,114.56277115423623,271.25814638996735,65.33333333333333,0.0,49,0,75,15,5.0
RL+Backbone,48,1.0136946289983766,3.841652406480433,41.659115603191964,121.81481974303325,53.333333333333336,0.0,40,0,75,15,5.0
RL+Backbone,91,3.3840182296139103,3.537839021238943,75.89511004514728,253.45503731920965,86.66666666666667,0.0,65,0,75,15,5.0
RL+Path,12,0.0,0.0,0.0,0.0,0.0,100.0,0,75,75,15,5.0
RL+Path,16,0.0,0.0,0.0,0.0,0.0,100.0,0,75,75,15,5.0
RL+Path,24,0.0,0.0,0.0,0.0,0.0,100.0,0,75,75,15,5.0
RL+Path,32,0.0,0.0,0.0,0.0,0.0,100.0,0,75,75,15,5.0
RL+Path,48,0.0,0.0,0.0,0.0,0.0,100.0,0,75,75,15,5.0
RL+Path,91,0.0,0.0,0.0,0.0,0.0,100.0,0,75,75,15,5.0
