global_env_steps,update_idx,phase,rl_variant,init_mode,steps_per_sec,elapsed_sec,eta_sec,mean_episode_return,mean_terminal_lambda2_norm,eval_terminal_lambda2_norm_mean,eval_terminal_lambda2_mean,mean_init_edges,mean_init_lambda2,mean_init_build_runtime_sec,mean_init_cache_hit,policy_loss,value_loss,entropy,approx_kl,learning_rate,selector_loss,selector_recall_at_k,selector_k_mean,selector_learning_rate,best_eval_metric
2000,1,phase_lite,full,path,249.85994798238121,8.004484176635742,72.04035758972168,0.08130966957155755,0.46417261467911003,0.880125476760234,9.12776794218452,8.90677966101695,0.0,0.0,0.0,-0.001376437212456949,0.02227497528656386,3.1926127038896084,0.0005319166666595265,0.00028421052631578947,0.0,0.0,0.0,0.0,0.880125476760234
4000,3,phase_lite,full,path,176.24768004910038,22.6953341960907,90.7813367843628,0.09296467591067846,0.47751742183044055,0.8886188266547514,9.180173261201332,9.105,0.0,0.0,0.0,-0.003116424908512272,0.01769909755239496,3.2515034563839436,0.0022577389172511175,0.00025263157894736836,0.0,0.0,0.0,0.0,0.8954745983656234
6000,5,phase_lite,full,path,160.720827286196,37.33181381225586,87.10756556193033,0.11206056501617298,0.5336272225406801,0.8883401222902847,9.179631709614476,9.1,0.0,0.0,0.0,-0.00997921013913583,0.017526385068777017,3.0651961863040924,0.00011657546565402299,0.00022105263157894738,0.0,0.0,0.0,0.0,0.8954745983656234
8000,7,phase_lite,full,path,153.8154695709597,52.01037335395813,78.0155600309372,0.10513571215135122,0.5299062271168712,0.8811185141514289,9.100091255632796,9.035,0.0,0.0,0.0,-0.005399987887358293,0.016972981567960232,3.2134103178977966,0.011584116335143335,0.0001894736842105263,0.0,0.0,0.0,0.0,0.8954745983656234
10000,9,phase_lite,full,path,149.9932924528363,66.66964793205261,66.66964793205261,0.10160155788402482,0.511510733040918,0.8816807880285719,9.113018882046008,9.105,0.0,0.0,0.0,-0.008422077138675377,0.014959521751734428,3.175710156559944,0.008801744625088759,0.00015789473684210527,0.0,0.0,0.0,0.0,0.8954745983656234
12000,11,phase_lite,full,path,147.44643023710938,81.38549017906189,54.25699345270793,0.10326869389790867,0.5106594141931826,0.8872327659799979,9.176839716676376,9.08,0.0,0.0,0.0,-0.00020510102331172675,0.013079242329695262,3.202139589935541,0.010304925730451941,0.00012631578947368418,0.0,0.0,0.0,0.0,0.8954745983656234
14000,13,phase_lite,full,path,145.90394898174608,95.95353722572327,41.12294452530997,0.10677212652732318,0.5299808056545761,0.8814564026620777,9.106273041526029,9.105,0.0,0.0,0.0,0.0009969106540665962,0.015033046322059818,3.1575506553053856,0.007801885367371142,9.473684210526315e-05,0.0,0.0,0.0,0.0,0.8954745983656234
16000,15,phase_lite,full,path,144.7821867872543,110.51083254814148,27.62770813703537,0.1020569421882056,0.5270178332363742,0.8720626910261629,9.051603612796942,9.14,0.0,0.0,0.0,-0.0037105352676007897,0.013780401728581637,3.22660968080163,0.01875766844023019,6.315789473684209e-05,0.0,0.0,0.0,0.0,0.8954745983656234
18000,17,phase_lite,full,path,143.82888579619123,125.14871335029602,13.905412594477337,0.11349810581307421,0.5516489225884632,0.830151087594912,8.558762507444989,9.15,0.0,0.0,0.0,-0.01248554936319124,0.014020732960489113,3.0458602122962475,0.017242356640053913,3.1578947368421045e-05,0.0,0.0,0.0,0.0,0.8954745983656234
20000,19,phase_lite,full,path,143.02073550618334,139.83986258506775,0.0,0.11313047176046509,0.569173564398032,0.8773155720186394,9.116673223806922,9.03,0.0,0.0,0.0,-0.004317884217016399,0.013654606984346174,3.225953347980976,0.012247230304637924,0.0,0.0,0.0,0.0,0.0,0.8954745983656234
