method,n,density_bucket,lambda2_mean,lambda2_std,density_points_in_bucket
RL+Backbone,12,dense,9.38230332813018,0.6372723650218259,5
RL+Backbone,12,medium,6.138548757327169,1.2799777019467087,5
RL+Backbone,12,sparse,2.047624598056892,0.6588318988951817,5
RL+Backbone,16,dense,13.337186527332964,1.087151174463534,5
RL+Backbone,16,medium,8.955861454325078,2.518970063196881,5
RL+Backbone,16,sparse,3.1463934867259167,1.220294758039968,5
RL+Backbone,24,dense,21.121753442953498,1.768399030094833,5
RL+Backbone,24,medium,12.576159861872167,3.0739665371989564,5
RL+Backbone,24,sparse,3.5404179432850142,1.7542041233334809,5
RL+Backbone,32,dense,27.92944268460091,2.584215033677354,5
RL+Backbone,32,medium,16.7907427402318,4.829655776517499,5
RL+Backbone,32,sparse,4.999352855925755,2.5173338416698923,5
RL+Backbone,48,dense,41.01293433569883,5.093701979000475,5
RL+Backbone,48,medium,23.49273745583905,5.56738111449775,5
RL+Backbone,48,sparse,6.746636763534677,4.340962300301969,5
RL+Backbone,91,dense,77.45775418502241,8.530372976669918,5
RL+Backbone,91,medium,45.790563517065884,11.35478819442886,5
RL+Backbone,91,sparse,11.912279880451411,8.01226436392709,5
RL+Path,12,dense,11.622040825392856,0.4376146305047236,5
RL+Path,12,medium,9.289277111577434,1.0504593010953425,5
RL+Path,12,sparse,4.168063609667987,2.2622196047624827,5
RL+Path,16,dense,14.98848132932676,0.8853016516591952,5
RL+Path,16,medium,9.33951509378641,3.3701874928104942,5
RL+Path,16,sparse,5.672104960147129,3.3850504305067664,5
RL+Path,24,dense,22.03263887143859,2.1371535100442305,5
RL+Path,24,medium,14.646614830890949,1.8839429032067851,5
RL+Path,24,sparse,4.391602082507475,2.838465177715744,5
RL+Path,32,dense,28.63434706566225,2.4380800947955974,5
RL+Path,32,medium,14.9443741552019,4.642223660329156,5
RL+Path,32,sparse,2.779339058829239,2.801363554040579,5
RL+Path,48,dense,41.841287238415234,5.909096007593463,5
RL+Path,48,medium,22.558653208452107,6.431899247883995,5
RL+Path,48,sparse,7.5306557483398535,5.074180827922822,5
RL+Path,91,dense,74.73649718001647,10.309553440068871,5
RL+Path,91,medium,43.18317449575396,6.848564603324604,5
RL+Path,91,sparse,13.466894313143019,9.35645844157243,5
