method,n,runtime_mean_over_density_s,runtime_std_over_density_s,density_points,avg_repeats_per_point,min_repeats_per_point,max_repeats_per_point
RL+Backbone,12,0.0042321066666409024,0.0022932288699589916,15,5.0,5,5
RL+Backbone,16,0.00775236533322944,0.004057459271549866,15,5.0,5,5
RL+Backbone,24,0.012073517333289296,0.006147240761855114,15,5.0,5,5
RL+Backbone,32,0.017798102666686952,0.008186335747937944,15,5.0,5,5
RL+Backbone,48,0.047823482666693354,0.01933254206642356,15,5.0,5,5
RL+Backbone,91,0.23534904533337492,0.1357603483478353,15,5.0,5,5
RL+Path,12,0.025928762666590045,0.01652512152250603,15,5.0,5,5
RL+Path,16,0.052483815999973246,0.03372616370096515,15,5.0,5,5
RL+Path,24,0.14522035333335223,0.09397592141598604,15,5.0,5,5
RL+Path,32,0.3034312613333532,0.20262226627543445,15,5.0,5,5
RL+Path,48,0.9517751613334137,0.6660782447669991,15,5.0,5,5
RL+Path,91,6.858603266666687,5.328511793022406,15,5.0,5,5
