method,n,delta_lambda2_mean_over_density,delta_lambda2_std_over_density,delta_lambda2_pct_mean_over_density,delta_lambda2_pct_std_over_density,win_pct_vs_rl_path_over_all_points,tie_pct_vs_rl_path_over_all_points,win_count,tie_count,total_points,density_points,avg_repeats_per_point
RL+Backbone,12,-2.503634954374679,1.3044687740718195,-28.511410469194644,24.24245552118367,6.666666666666667,0.0,5,0,75,15,5.0
RL+Backbone,16,-1.5202199716254483,2.237712999446729,-7.110412969318267,36.53896784665853,33.333333333333336,0.0,25,0,75,15,5.0
RL+Backbone,24,-1.277508178908779,2.2338696200391075,4.767161839686081,55.64197458673085,26.666666666666668,0.0,20,0,75,15,5.0
RL+Backbone,32,1.1204926670216955,2.1864960309718606,103.75812644548218,260.840374332012,73.33333333333333,0.0,55,0,75,15,5.0
RL+Backbone,48,-0.22609588004488176,2.9450729962084417,32.22718939481421,122.52859935930526,46.666666666666664,0.0,35,0,75,15,5.0
RL+Backbone,91,1.2580105312087488,5.012826386848496,68.6290215418724,255.54099509501427,73.33333333333333,0.0,55,0,75,15,5.0
RL+Path,12,0.0,0.0,0.0,0.0,0.0,100.0,0,75,75,15,5.0
RL+Path,16,0.0,0.0,0.0,0.0,0.0,100.0,0,75,75,15,5.0
RL+Path,24,0.0,0.0,0.0,0.0,0.0,100.0,0,75,75,15,5.0
RL+Path,32,0.0,0.0,0.0,0.0,0.0,100.0,0,75,75,15,5.0
RL+Path,48,0.0,0.0,0.0,0.0,0.0,100.0,0,75,75,15,5.0
RL+Path,91,0.0,0.0,0.0,0.0,0.0,100.0,0,75,75,15,5.0
