global_env_steps,update_idx,phase,rl_variant,init_mode,steps_per_sec,elapsed_sec,eta_sec,mean_episode_return,mean_terminal_lambda2_norm,eval_terminal_lambda2_norm_mean,eval_terminal_lambda2_mean,mean_init_edges,mean_init_lambda2,mean_init_build_runtime_sec,mean_init_cache_hit,policy_loss,value_loss,entropy,approx_kl,learning_rate,selector_loss,selector_recall_at_k,selector_k_mean,selector_learning_rate,best_eval_metric
2000,1,phase_lite,full,path,229.77685020300825,8.704097032546997,78.33687329292297,0.3723753978000102,0.46680650328301354,0.8801254767602342,9.12776794218452,8.90677966101695,0.0,0.0,0.0,-0.0016577936039539054,0.013468875680700876,3.192518215626478,0.0006840335991000757,0.00028421052631578947,0.0,0.0,0.0,0.0,0.8801254767602342
4000,3,phase_lite,full,path,163.96755843398407,24.39506959915161,97.58027839660645,0.3895293537194393,0.4874911283684831,0.8894585968974336,9.190250504113516,9.105,0.0,0.0,0.0,-0.003994947532191873,0.01083699667651672,3.2440056912600994,0.0017515427098260261,0.00025263157894736836,0.0,0.0,0.0,0.0,0.8894585968974336
6000,5,phase_lite,full,path,150.28397725415851,39.924415826797485,93.15697026252748,0.4275852635379172,0.5533960034735175,0.8894585968974336,9.190250504113516,9.1,0.0,0.0,0.0,-0.008972778188763186,0.009418802947038785,3.05112873762846,-0.0012400151608744636,0.00022105263157894738,0.0,0.0,0.0,0.0,0.8894585968974336
8000,7,phase_lite,full,path,145.93735514613334,54.81804156303406,82.22706234455109,0.4162654164695389,0.549477075494899,0.8894919796303877,9.202699965145749,9.035,0.0,0.0,0.0,-0.004439022552105598,0.007953944987093564,3.1958322301506996,0.006149207998532802,0.0001894736842105263,0.0,0.0,0.0,0.0,0.892504196689583
10000,9,phase_lite,full,path,143.51551054813189,69.678879737854,69.678879737854,0.401546283912655,0.5285032457521868,0.8689997951338154,9.011172140797065,9.105,0.0,0.0,0.0,-0.004267353448085487,0.006182574328704504,3.162430301308632,0.00999932672129944,0.00015789473684210527,0.0,0.0,0.0,0.0,0.892504196689583
12000,11,phase_lite,full,path,141.9231342346854,84.55281138420105,56.3685409228007,0.4032183257433967,0.526459293426708,0.833247353414504,8.583445367357674,9.08,0.0,0.0,0.0,-0.0021854186488781124,0.00456715164182242,3.1703305281698704,0.016037387933465652,0.00012631578947368418,0.0,0.0,0.0,0.0,0.892504196689583
14000,13,phase_lite,full,path,140.7794501258247,99.4463324546814,42.619856766292024,0.4074656736224488,0.5445880251420762,0.833247353414504,8.583445367357674,9.105,0.0,0.0,0.0,-0.004614932578988373,0.004175628833763767,3.1319441981613636,0.01343136272043921,9.473684210526315e-05,0.0,0.0,0.0,0.0,0.892504196689583
16000,15,phase_lite,full,path,140.34888152062797,114.00162100791931,28.500405251979828,0.40251465395488756,0.5391043639887978,0.833247353414504,8.583445367357674,9.14,0.0,0.0,0.0,4.463657387532294e-05,0.004036611069750506,3.205504644662142,0.017287640264839865,6.315789473684209e-05,0.0,0.0,0.0,0.0,0.892504196689583
18000,17,phase_lite,full,path,139.93911988476844,128.62736320495605,14.291929244995119,0.41872765160767317,0.5647938807105104,0.833247353414504,8.583445367357674,9.15,0.0,0.0,0.0,-0.00966923392843455,0.0032894898922677385,3.018340438604355,0.006298530119238421,3.1578947368421045e-05,0.0,0.0,0.0,0.0,0.892504196689583
20000,19,phase_lite,full,path,139.63979187135516,143.22565031051636,0.0,0.426241633435568,0.5826931016005992,0.833247353414504,8.583445367357674,9.03,0.0,0.0,0.0,-0.007358525705058128,0.004503553835093044,3.19871723651886,0.010953241086099297,0.0,0.0,0.0,0.0,0.0,0.892504196689583
