method,n,density_bucket,lambda2_mean,lambda2_std,density_points_in_bucket
RL+Backbone,12,dense,9.426335094924713,0.7907800104589892,5
RL+Backbone,12,medium,6.39323264884123,1.6834074623322821,5
RL+Backbone,12,sparse,2.4428261520652277,0.9098523155209566,5
RL+Backbone,16,dense,13.251987419306058,1.0589375744401148,5
RL+Backbone,16,medium,9.036752175610356,2.457132713414257,5
RL+Backbone,16,sparse,2.773245854071155,1.4829555800260645,5
RL+Backbone,24,dense,20.69607974689243,1.9246558130594522,5
RL+Backbone,24,medium,12.5731303676831,3.08498883607882,5
RL+Backbone,24,sparse,3.4815754048053456,1.7941133387501766,5
RL+Backbone,32,dense,27.507251130325283,2.3738966482449904,5
RL+Backbone,32,medium,16.614257269198127,4.751682756447995,5
RL+Backbone,32,sparse,4.890237080450392,2.472940756607015,5
RL+Backbone,48,dense,40.76686147119782,5.089738850327741,5
RL+Backbone,48,medium,23.550611142516686,5.602004399239494,5
RL+Backbone,48,sparse,6.706875947290376,4.239446941058159,5
RL+Backbone,91,dense,77.25292505906559,8.81961076408864,5
RL+Backbone,91,medium,45.56762726980673,11.328187650242192,5
RL+Backbone,91,sparse,11.893250043205695,8.012841812832647,5
RL+Path,12,dense,11.63626415398107,0.4123763904521054,5
RL+Path,12,medium,9.096443459219378,0.9895099761795066,5
RL+Path,12,sparse,4.296371811083041,2.323569830070888,5
RL+Path,16,dense,14.932242115588286,1.2525147588637358,5
RL+Path,16,medium,9.447213940393217,3.442887553737143,5
RL+Path,16,sparse,5.75937441044456,3.439074511477524,5
RL+Path,24,dense,22.72080857997296,1.7636183064376825,5
RL+Path,24,medium,13.695019481356615,3.0579245289253105,5
RL+Path,24,sparse,3.9591529759659565,2.5142429987242014,5
RL+Path,32,dense,28.44369108535082,2.32459887293959,5
RL+Path,32,medium,15.532789695437435,3.5901287885530144,5
RL+Path,32,sparse,2.7416123452079266,3.272280094565895,5
RL+Path,48,dense,42.37585356502389,6.3192745784913456,5
RL+Path,48,medium,21.580266212814035,6.567596308043924,5
RL+Path,48,sparse,8.022347598440827,5.137473573877354,5
RL+Path,91,dense,74.79193438297469,10.845659381757134,5
RL+Path,91,medium,41.147197483405606,9.51283105932333,5
RL+Path,91,sparse,13.632811280895464,7.6023141494473645,5
