method,n,runtime_mean_over_density_s,runtime_std_over_density_s,density_points,avg_repeats_per_point,min_repeats_per_point,max_repeats_per_point
RL+Backbone,12,0.004317143999990852,0.002340934306539502,15,5.0,5,5
RL+Backbone,16,0.0070092253334102395,0.003779642608747638,15,5.0,5,5
RL+Backbone,24,0.011714945333393794,0.0060048837464519245,15,5.0,5,5
RL+Backbone,32,0.017330413333232476,0.00829650421590038,15,5.0,5,5
RL+Backbone,48,0.046065322666666665,0.019336500621867318,15,5.0,5,5
RL+Backbone,91,0.23933916266646219,0.13747702733728215,15,5.0,5,5
RL+Path,12,0.024413776000049743,0.015400015166582525,15,5.0,5,5
RL+Path,16,0.05130867066657326,0.03244662842626671,15,5.0,5,5
RL+Path,24,0.14012868666672146,0.09109110322344859,15,5.0,5,5
RL+Path,32,0.29452478133323895,0.1974847935250443,15,5.0,5,5
RL+Path,48,0.905137644000012,0.6369451883385246,15,5.0,5,5
RL+Path,91,6.935808778666687,5.349458213735325,15,5.0,5,5
