method,n,delta_lambda2_mean_over_density,delta_lambda2_std_over_density,delta_lambda2_pct_mean_over_density,delta_lambda2_pct_std_over_density,win_pct_vs_rl_path_over_all_points,tie_pct_vs_rl_path_over_all_points,win_count,tie_count,total_points,density_points,avg_repeats_per_point
RL+Backbone,12,-2.2555618428174395,1.3878718782805983,-24.540676848560544,24.498477139327186,13.333333333333334,0.0,10,0,75,15,5.0
RL+Backbone,16,-1.692281672479498,2.2354264835323328,-12.036047916911858,38.366671668897155,26.666666666666668,0.0,20,0,75,15,5.0
RL+Backbone,24,-1.2080651726382183,2.2739060568658087,8.127300672708708,57.23435707736502,26.666666666666668,0.0,20,0,75,15,5.0
RL+Backbone,32,0.7645507846592089,2.623717658377328,112.29164254995928,281.35808053698224,53.333333333333336,0.0,40,0,75,15,5.0
RL+Backbone,48,-0.31803960509128976,3.5364765766980923,31.301025888121657,122.75014571520919,54.666666666666664,0.0,41,0,75,15,5.0
RL+Backbone,91,1.7139530749340868,3.947608374459087,68.39677540491637,255.59321904219107,80.0,0.0,60,0,75,15,5.0
RL+Path,12,0.0,0.0,0.0,0.0,0.0,100.0,0,75,75,15,5.0
RL+Path,16,0.0,0.0,0.0,0.0,0.0,100.0,0,75,75,15,5.0
RL+Path,24,0.0,0.0,0.0,0.0,0.0,100.0,0,75,75,15,5.0
RL+Path,32,0.0,0.0,0.0,0.0,0.0,100.0,0,75,75,15,5.0
RL+Path,48,0.0,0.0,0.0,0.0,0.0,100.0,0,75,75,15,5.0
RL+Path,91,0.0,0.0,0.0,0.0,0.0,100.0,0,75,75,15,5.0
