method,n,density_bucket,lambda2_mean,lambda2_std,density_points_in_bucket
RL+Backbone,12,dense,9.287389218548503,0.7792242608612032,5
RL+Backbone,12,medium,6.076967147773723,1.4670531750438003,5
RL+Backbone,12,sparse,2.569232164030052,0.9787884348528395,5
RL+Backbone,16,dense,13.520175408782816,1.5960787838974377,5
RL+Backbone,16,medium,7.954372887710997,2.076769921340433,5
RL+Backbone,16,sparse,2.8653624027659204,1.3573174680389868,5
RL+Backbone,24,dense,19.676254047419608,2.6535561318761594,5
RL+Backbone,24,medium,11.667079600876281,2.5163407953852532,5
RL+Backbone,24,sparse,3.349493590196387,1.726275706173105,5
RL+Backbone,32,dense,26.68447120033259,2.7198508929264738,5
RL+Backbone,32,medium,15.651504725960697,3.8222350170946084,5
RL+Backbone,32,sparse,4.248030285778258,2.16031913750931,5
RL+Backbone,48,dense,39.89640403213987,5.08945416761851,5
RL+Backbone,48,medium,23.25321996679902,5.405107819195099,5
RL+Backbone,48,sparse,6.538192751873569,4.2963641895644065,5
RL+Backbone,91,dense,77.15948452730723,9.13848131884147,5
RL+Backbone,91,medium,44.564519113111054,10.802813628810977,5
RL+Backbone,91,sparse,11.796741743850788,8.026290435242217,5
RL+Path,12,dense,10.959606223019298,0.8351550074828309,5
RL+Path,12,medium,8.8551516610995,0.9392167214943472,5
RL+Path,12,sparse,4.103965594131283,2.2643178779671276,5
RL+Path,16,dense,14.089908297337942,2.512757940856833,5
RL+Path,16,medium,8.117848084842114,1.6957951812208891,5
RL+Path,16,sparse,5.526353844168677,3.418040566245573,5
RL+Path,24,dense,20.721694365945364,2.361921157025236,5
RL+Path,24,medium,15.71742649069894,4.445717873921214,5
RL+Path,24,sparse,3.9643297516536484,2.520634496456139,5
RL+Path,32,dense,28.891588896508274,2.6800561562770815,5
RL+Path,32,medium,15.114149051004997,3.727576710483861,5
RL+Path,32,sparse,2.5262784516963768,2.7508444431268217,5
RL+Path,48,dense,39.515701642943235,7.124562601183445,5
RL+Path,48,medium,23.690238527010898,9.112346577324043,5
RL+Path,48,sparse,7.562095965728733,4.861139174705732,5
RL+Path,91,dense,74.27448439326918,10.58211271071021,5
RL+Path,91,medium,42.68810919173666,10.404261535240815,5
RL+Path,91,sparse,14.735850184653478,10.624122622129814,5
