method,n,runtime_mean_over_density_s,runtime_std_over_density_s,density_points,avg_repeats_per_point,min_repeats_per_point,max_repeats_per_point
RL+Backbone,12,0.004456344000015331,0.0024161695417232788,15,5.0,5,5
RL+Backbone,16,0.00748885333329478,0.004045657043012552,15,5.0,5,5
RL+Backbone,24,0.010326537333457963,0.005242198770899665,15,5.0,5,5
RL+Backbone,32,0.017985453333337013,0.008024218413606688,15,5.0,5,5
RL+Backbone,48,0.048698173333432335,0.02099691066620927,15,5.0,5,5
RL+Backbone,91,0.2428867466667119,0.14034133154001865,15,5.0,5,5
RL+Path,12,0.025401388000051765,0.016123838244628083,15,5.0,5,5
RL+Path,16,0.0524883959999958,0.033442861611699154,15,5.0,5,5
RL+Path,24,0.13083480000004782,0.07873996273345804,15,5.0,5,5
RL+Path,32,0.28002811466666266,0.20191843989876895,15,5.0,5,5
RL+Path,48,0.950039789333326,0.6718109605612943,15,5.0,5,5
RL+Path,91,7.111275074666652,5.48541588075375,15,5.0,5,5
