method,n,delta_lambda2_mean_over_density,delta_lambda2_std_over_density,delta_lambda2_pct_mean_over_density,delta_lambda2_pct_std_over_density,win_pct_vs_rl_path_over_all_points,tie_pct_vs_rl_path_over_all_points,win_count,tie_count,total_points,density_points,avg_repeats_per_point
RL+Backbone,12,-1.9950449826326018,1.4499889510620498,-19.7214895235305,31.09468693369616,13.333333333333334,0.0,10,0,75,15,5.0
RL+Backbone,16,-1.1313998423629996,2.794157081307827,-3.8902361700177606,49.90601444314204,26.666666666666668,0.0,20,0,75,15,5.0
RL+Backbone,24,-1.9035411232685606,3.355578304627423,9.179868619192545,78.18862508560811,26.666666666666668,0.0,20,0,75,15,5.0
RL+Backbone,32,0.017329937620633017,1.9075234997247557,88.44950784650482,199.4179091192389,56.0,0.0,42,0,75,15,5.0
RL+Backbone,48,-0.36007312829013755,3.5766561477169327,37.23809382986987,147.1482589248211,50.666666666666664,0.0,38,0,75,15,5.0
RL+Backbone,91,0.6074338715365845,4.825107376943193,70.39467355546867,266.0443474460845,73.33333333333333,0.0,55,0,75,15,5.0
RL+Path,12,0.0,0.0,0.0,0.0,0.0,100.0,0,75,75,15,5.0
RL+Path,16,0.0,0.0,0.0,0.0,0.0,100.0,0,75,75,15,5.0
RL+Path,24,0.0,0.0,0.0,0.0,0.0,100.0,0,75,75,15,5.0
RL+Path,32,0.0,0.0,0.0,0.0,0.0,100.0,0,75,75,15,5.0
RL+Path,48,0.0,0.0,0.0,0.0,0.0,100.0,0,75,75,15,5.0
RL+Path,91,0.0,0.0,0.0,0.0,0.0,100.0,0,75,75,15,5.0
