arm,label,baseline,method,n,density_bucket,lambda2_mean,baseline_lambda2_mean,delta_lambda2_mean,delta_lambda2_std,delta_lambda2_pct_mean,win_pct_vs_baseline,paired_points
old_model,Old model (rl_train),old_model,RL+Backbone,12,dense,9.0,9.0,0.0,0.0,0.0,0.0,9
old_model,Old model (rl_train),old_model,RL+Backbone,12,medium,5.749999999999993,5.749999999999993,0.0,0.0,0.0,0.0,12
old_model,Old model (rl_train),old_model,RL+Backbone,12,sparse,1.5119661282874142,1.5119661282874142,0.0,0.0,0.0,0.0,9
old_model,Old model (rl_train),old_model,RL+Backbone,16,dense,12.249999999999995,12.249999999999995,0.0,0.0,0.0,0.0,12
old_model,Old model (rl_train),old_model,RL+Backbone,16,medium,6.050746978325809,6.050746978325809,0.0,0.0,0.0,0.0,9
old_model,Old model (rl_train),old_model,RL+Backbone,16,sparse,1.5461769795739733,1.5461769795739733,0.0,0.0,0.0,0.0,9
old_model,Old model (rl_train),old_model,RL+Backbone,32,dense,25.499999999999982,25.499999999999982,0.0,0.0,0.0,0.0,12
old_model,Old model (rl_train),old_model,RL+Backbone,32,medium,12.934037729573076,12.934037729573076,0.0,0.0,0.0,0.0,9
old_model,Old model (rl_train),old_model,RL+Backbone,32,sparse,2.881921659089481,2.881921659089481,0.0,0.0,0.0,0.0,9
old_model,Old model (rl_train),old_model,RL+Backbone,64,dense,51.999999999999936,51.999999999999936,0.0,0.0,0.0,0.0,12
old_model,Old model (rl_train),old_model,RL+Backbone,64,medium,26.1966768764562,26.1966768764562,0.0,0.0,0.0,0.0,9
old_model,Old model (rl_train),old_model,RL+Backbone,64,sparse,5.807533115502231,5.807533115502231,0.0,0.0,0.0,0.0,9
old_model,Old model (rl_train),old_model,RL+Path,12,dense,8.833702075134134,8.833702075134134,0.0,0.0,0.0,0.0,9
old_model,Old model (rl_train),old_model,RL+Path,12,medium,4.739033940636149,4.739033940636149,0.0,0.0,0.0,0.0,12
old_model,Old model (rl_train),old_model,RL+Path,12,sparse,1.2193045655929382,1.2193045655929382,0.0,0.0,0.0,0.0,9
old_model,Old model (rl_train),old_model,RL+Path,16,dense,11.424306090567006,11.424306090567006,0.0,0.0,0.0,0.0,12
old_model,Old model (rl_train),old_model,RL+Path,16,medium,5.944029149536664,5.944029149536664,0.0,0.0,0.0,0.0,9
old_model,Old model (rl_train),old_model,RL+Path,16,sparse,1.3429913412127397,1.3429913412127397,0.0,0.0,0.0,0.0,9
old_model,Old model (rl_train),old_model,RL+Path,32,dense,24.382092936131553,24.382092936131553,0.0,0.0,0.0,0.0,12
old_model,Old model (rl_train),old_model,RL+Path,32,medium,12.033393261207204,12.033393261207204,0.0,0.0,0.0,0.0,9
old_model,Old model (rl_train),old_model,RL+Path,32,sparse,2.671686661153168,2.671686661153168,0.0,0.0,0.0,0.0,9
old_model,Old model (rl_train),old_model,RL+Path,64,dense,50.20809054881992,50.20809054881992,0.0,0.0,0.0,0.0,12
old_model,Old model (rl_train),old_model,RL+Path,64,medium,25.02372329468386,25.02372329468386,0.0,0.0,0.0,0.0,9
old_model,Old model (rl_train),old_model,RL+Path,64,sparse,5.524635868403084,5.524635868403084,0.0,0.0,0.0,0.0,9
analytic,Analytic (exact secular),old_model,RL+Backbone,12,dense,8.999999999999993,9.0,-7.697546304067751e-15,5.861678512419427e-15,-8.437694987151185e-14,0.0,9
analytic,Analytic (exact secular),old_model,RL+Backbone,12,medium,5.749999999999992,5.749999999999993,-1.5543122344752192e-15,6.165487399252188e-15,-2.9077269692563626e-14,0.0,12
analytic,Analytic (exact secular),old_model,RL+Backbone,12,sparse,1.5119661282874142,1.5119661282874142,0.0,0.0,0.0,0.0,9
analytic,Analytic (exact secular),old_model,RL+Backbone,16,dense,12.249999999999991,12.249999999999995,-7.549516567451064e-15,6.450768384495631e-15,-5.841481144950825e-14,0.0,12
analytic,Analytic (exact secular),old_model,RL+Backbone,16,medium,6.100766633459728,6.050746978325809,0.05001965513391996,0.07073847467562028,1.2046424067680699,33.33333333333333,9
