arm,label,method,n,rl_runtime_mean_s,rl_runtime_std_s,rl_runtime_per_step_mean_s,init_runtime_mean_s,total_runtime_mean_s,speedup_vs_baseline
analytic,Analytic (exact secular),RL+Backbone,12,0.0027834099998775247,0.0024769567406974333,0.0008661269999599123,0.0012509866666126376,0.004023449999901156,0.773409834240925
old_model,Old model (rl_train),RL+Backbone,12,0.0021527166666298093,0.0018819149110607218,0.0006817306666562217,0.0012926733329853353,0.0034382099996340303,1.0
subspace,Subspace (certified bracket),RL+Backbone,12,0.0003480833335440062,0.001043772222660801,0.0003480833335440062,0.001218463333498221,0.0015665433336835121,6.18448646969664
analytic,Analytic (exact secular),RL+Backbone,16,0.006677383333226317,0.005376399375992951,0.0026838595237403213,0.0015623133327608229,0.0079003699994549,0.48551154024827514
old_model,Old model (rl_train),RL+Backbone,16,0.0032419466669428706,0.0022659985218004873,0.0014377876190857413,0.0014225866668615102,0.004415630000342693,1.0
subspace,Subspace (certified bracket),RL+Backbone,16,0.001366783333408724,0.002464306541463207,0.0003582030160147937,0.0013740566671913254,0.0027408400004787837,2.3719536137871504
analytic,Analytic (exact secular),RL+Backbone,32,0.01928820000042227,0.017460353455329276,0.0024337704325949343,0.004070960000050643,0.023066196667180825,0.4028189946573143
old_model,Old model (rl_train),RL+Backbone,32,0.007769653332919309,0.005242832542365563,0.0010318309678982033,0.003824876666355218,0.011318673332910596,1.0
subspace,Subspace (certified bracket),RL+Backbone,32,0.004290733333012516,0.00644797943679193,0.000518178523599913,0.003774863333334603,0.008065593332867138,1.810798464947774
analytic,Analytic (exact secular),RL+Backbone,64,0.06749065000027865,0.05813397922897861,0.005525570365535965,0.02429684000041258,0.09160185333421397,0.4126857572139547
old_model,Old model (rl_train),RL+Backbone,64,0.027852430000226986,0.02344950055561474,0.0022066359938086436,0.021224479999727923,0.0489182099999501,1.0
subspace,Subspace (certified bracket),RL+Backbone,64,0.013385350000316976,0.01783366026601619,0.0053712677411431615,0.021413256666831637,0.034798603333789896,2.0808144725066895
analytic,Analytic (exact secular),RL+Path,12,0.06981455999945561,0.039536855277237215,0.0026081806594533173,0.0,0.06981455999945561,0.3078971397070205
old_model,Old model (rl_train),RL+Path,12,0.02149570333373655,0.013964943560945518,0.0008531522169905534,0.0,0.02149570333373655,1.0
subspace,Subspace (certified bracket),RL+Path,12,0.03192545999978999,0.021130928544219447,0.0012618662480447173,0.0,0.03192545999978999,0.6733091186118525
analytic,Analytic (exact secular),RL+Path,16,0.1781127266667075,0.10657060421888244,0.0034478506428603254,0.0,0.1781127266667075,0.24279994366035862
old_model,Old model (rl_train),RL+Path,16,0.04324575999986943,0.028661456313042784,0.0008980736182726757,0.0,0.04324575999986943,1.0
subspace,Subspace (certified bracket),RL+Path,16,0.07282168000019737,0.05003229453742074,0.0014352112900527232,0.0,0.07282168000019737,0.5938583125211094
analytic,Analytic (exact secular),RL+Path,32,1.09282244666659,0.7087782842569122,0.004532927034422106,0.0,1.09282244666659,0.24254852268875907
old_model,Old model (rl_train),RL+Path,32,0.2650624700000966,0.17375669936092716,0.0012220952907211718,0.0,0.2650624700000966,1.0
subspace,Subspace (certified bracket),RL+Path,32,0.3674739699999918,0.24206549018600754,0.001620235437372745,0.0,0.3674739699999918,0.7213095120726578
analytic,Analytic (exact secular),RL+Path,64,6.301400166666645,4.288251483117738,0.0060639524937456096,0.0,6.301400166666645,0.26902896581103264
old_model,Old model (rl_train),RL+Path,64,1.6952591699997963,1.1351851829104869,0.0017487729385506565,0.0,1.6952591699997963,1.0
subspace,Subspace (certified bracket),RL+Path,64,1.8824261666666036,1.2666140040299974,0.0019568256773869284,0.0,1.8824261666666036,0.9005714008968319
