global_env_steps,update_idx,phase,rl_variant,init_mode,steps_per_sec,elapsed_sec,eta_sec,mean_episode_return,mean_terminal_lambda2_norm,eval_terminal_lambda2_norm_mean,eval_terminal_lambda2_mean,mean_init_edges,mean_init_lambda2,mean_init_build_runtime_sec,mean_init_cache_hit,policy_loss,value_loss,entropy,approx_kl,learning_rate,selector_loss,selector_recall_at_k,selector_k_mean,selector_learning_rate,best_eval_metric
2000,1,phase_lite,full,path,172.42910456458785,11.59896993637085,104.39072942733765,0.21183083194664648,0.30796120454072173,0.5534477711038078,5.839703380951674,8.90677966101695,0.0,0.0,0.0,-0.0007194435456767678,0.012862042647611815,3.0945810563862324,4.878840991295874e-05,0.00028421052631578947,0.0,0.0,0.0,0.0,0.5552849071281284
4000,3,phase_lite,full,path,142.87615926985697,27.996273279190063,111.98509311676024,0.2220785168391427,0.3199367084562093,0.5454847861545566,5.753590884680389,9.105,0.0,0.0,0.0,-0.010355447186157107,0.010192551293584984,3.1317760832607746,0.0021203635551501065,0.00025263157894736836,0.0,0.0,0.0,0.0,0.5552849071281284
6000,5,phase_lite,full,path,138.9949910308776,43.16702318191528,100.72305409113565,0.24844128685650857,0.37379029033230216,0.5417518194910049,5.720904464904919,9.1,0.0,0.0,0.0,-0.00038041744846850634,0.010814767840201966,2.966106276959181,-0.0016058376641012728,0.00022105263157894738,0.0,0.0,0.0,0.0,0.5552849071281284
8000,7,phase_lite,full,path,136.75144844365394,58.50029444694519,87.75044167041779,0.24344424444211024,0.37061174181176226,0.543059358154349,5.723197469243491,9.035,0.0,0.0,0.0,-0.0034175352047896013,0.008842567076499108,3.0503129586577415,0.013209843775257468,0.0001894736842105263,0.0,0.0,0.0,0.0,0.5552849071281284
10000,9,phase_lite,full,path,134.9935634397805,74.0776059627533,74.0776059627533,0.23771405184898117,0.35910109482291186,0.5547583750878662,5.863585672445697,9.105,0.0,0.0,0.0,-0.009846586297499016,0.006789143168134615,3.0034921430051327,0.01357174814620521,0.00015789473684210527,0.0,0.0,0.0,0.0,0.5552849071281284
12000,11,phase_lite,full,path,133.73487662313366,89.72977209091187,59.81984806060791,0.2395753958593725,0.3639152049510098,0.5547583750878662,5.863585672445698,9.08,0.0,0.0,0.0,-0.007549985049990937,0.00623342304606922,3.0254568867385387,0.016179043537704274,0.00012631578947368418,0.0,0.0,0.0,0.0,0.5552849071281284
14000,13,phase_lite,full,path,133.616693541815,104.77732706069946,44.904568740299766,0.242660468906237,0.36967592030069435,0.5314482365647094,5.603811444182529,9.105,0.0,0.0,0.0,-0.0019317129044793546,0.00707337168205413,2.9824532940983772,0.005316578535712324,9.473684210526315e-05,0.0,0.0,0.0,0.0,0.5552849071281284
16000,15,phase_lite,full,path,133.04017715232845,120.26442193984985,30.06610548496246,0.23481280216004669,0.3506736269671345,0.5366159222812481,5.656409728181604,9.14,0.0,0.0,0.0,-0.011229017312871292,0.0055108757987909485,3.044290389865637,0.015872413510805927,6.315789473684209e-05,0.0,0.0,0.0,0.0,0.5552849071281284
18000,17,phase_lite,full,path,132.5420852460272,135.80592131614685,15.089546812905207,0.2512828408929449,0.38975092238546355,0.5368363623914291,5.646916450796287,9.15,0.0,0.0,0.0,-0.0042151802335865796,0.005689164503564825,2.856387760490179,0.00497878658643458,3.1578947368421045e-05,0.0,0.0,0.0,0.0,0.5552849071281284
20000,19,phase_lite,full,path,129.22927135871927,154.76369857788086,0.0,0.2610414669244455,0.41284702239416277,0.5325901035085792,5.595961344202087,9.03,0.0,0.0,0.0,-0.0007853459683246911,0.006578226624696981,3.0293860659003258,0.015971161090419628,0.0,0.0,0.0,0.0,0.0,0.5552849071281284
