method,n,density_bucket,lambda2_mean,lambda2_std,density_points_in_bucket
RL+Backbone,12,dense,8.999999999999991,0.8164965809277293,3
RL+Backbone,12,medium,5.749999999999992,1.0897247358851676,4
RL+Backbone,12,sparse,1.511966128287414,0.545638456235876,3
RL+Backbone,16,dense,12.249999999999996,1.4790199457749085,4
RL+Backbone,16,medium,6.100766633459728,1.5112603884391815,3
RL+Backbone,16,sparse,1.5922251698491439,0.8091957255872237,3
RL+Backbone,32,dense,25.499999999999947,3.3541019662496825,4
RL+Backbone,32,medium,12.909489013506066,3.294910752604907,3
RL+Backbone,32,sparse,2.8947344292930004,1.8198366736430929,3
RL+Backbone,64,dense,51.99999999999988,7.615773105863905,4
RL+Backbone,64,medium,26.19422773781194,6.335061501178603,3
RL+Backbone,64,sparse,5.818457323336176,4.335453619594892,3
RL+Path,12,dense,8.999999999999998,0.8164965809277278,3
RL+Path,12,medium,4.82276351339166,1.22972236883576,4
RL+Path,12,sparse,1.117931340168101,0.7177620287387866,3
RL+Path,16,dense,11.644229545787399,1.9714840671711338,4
RL+Path,16,medium,5.810323499551863,1.3166733539632913,3
RL+Path,16,sparse,1.3808109200463994,1.0567710563960546,3
RL+Path,32,dense,24.41133774706089,4.1613428804750106,4
RL+Path,32,medium,12.008470994825421,2.703270751276494,3
RL+Path,32,sparse,2.7117174765820913,2.266339812347301,3
RL+Path,64,dense,50.23375307584101,8.59391408866852,4
RL+Path,64,medium,25.010393143754158,5.637222695391048,3
RL+Path,64,sparse,5.585601298236905,4.712044937182485,3
