checkpoint_label,checkpoint_path,checkpoint_algo,checkpoint_global_env_steps,config_path,rl_variant,n,rho_target,seed,m_target,m_final,rho_final,episode_len,terminal_lambda2_norm,terminal_lambda2,rl_runtime_sec,runtime_sec,runtime_total_sec,init_mode,init_route_label,init_family,init_edges,init_lambda2,init_build_runtime_sec,init_cache_hit,init_selected_index,init_errors,overlap_post_completion_selection,overlap_candidate_count,overlap_evaluated_families,top_k,dist_cap,method,repeat_idx,arm,arm_label
best,C:\Users\erich\Documents\AFRL\Algebraic-Connectivity-Optimization-CDC2026\lite_trials_new\runs\analytic\checkpoints\best.pt,ppo,2000,C:\Users\erich\Documents\AFRL\Algebraic-Connectivity-Optimization-CDC2026\lite_trials_new\configs\analytic.yaml,full,12,0.018181818182,0,12,12,0.01818181818181818,1,0.021211887375772485,0.25454264850926983,0.0034403999998176005,0.0034403999998176005,0.0034403999998176005,path,path,path,11,0.0,0.0,False,,,False,1,path,64,4,RL+Path,0,analytic,Analytic (exact secular)
best,C:\Users\erich\Documents\AFRL\Algebraic-Connectivity-Optimization-CDC2026\lite_trials_new\runs\analytic\checkpoints\best.pt,ppo,2000,C:\Users\erich\Documents\AFRL\Algebraic-Connectivity-Optimization-CDC2026\lite_trials_new\configs\analytic.yaml,full,12,0.018181818182,1,12,12,0.01818181818181818,1,0.021211887375772485,0.25454264850926983,0.0013618000011774711,0.0013618000011774711,0.0013618000011774711,path,path,path,11,0.0,0.0,False,,,False,1,path,64,4,RL+Path,1,analytic,Analytic (exact secular)
best,C:\Users\erich\Documents\AFRL\Algebraic-Connectivity-Optimization-CDC2026\lite_trials_new\runs\analytic\checkpoints\best.pt,ppo,2000,C:\Users\erich\Documents\AFRL\Algebraic-Connectivity-Optimization-CDC2026\lite_trials_new\configs\analytic.yaml,full,12,0.018181818182,2,12,12,0.01818181818181818,1,0.021211887375772485,0.25454264850926983,0.001186100002087187,0.001186100002087187,0.001186100002087187,path,path,path,11,0.0,0.0,False,,,False,1,path,64,4,RL+Path,2,analytic,Analytic (exact secular)
best,C:\Users\erich\Documents\AFRL\Algebraic-Connectivity-Optimization-CDC2026\lite_trials_new\runs\analytic\checkpoints\best.pt,ppo,2000,C:\Users\erich\Documents\AFRL\Algebraic-Connectivity-Optimization-CDC2026\lite_trials_new\configs\analytic.yaml,full,12,0.127272727273,0,18,18,0.12727272727272726,7,0.09061298128858541,1.087355775463025,0.011794699999882141,0.011794699999882141,0.011794699999882141,path,path,path,11,0.0,0.0,False,,,False,1,path,64,4,RL+Path,0,analytic,Analytic (exact secular)
best,C:\Users\erich\Documents\AFRL\Algebraic-Connectivity-Optimization-CDC2026\lite_trials_new\runs\analytic\checkpoints\best.pt,ppo,2000,C:\Users\erich\Documents\AFRL\Algebraic-Connectivity-Optimization-CDC2026\lite_trials_new\configs\analytic.yaml,full,12,0.127272727273,1,18,18,0.12727272727272726,7,0.09061298128858541,1.087355775463025,0.008874099999957252,0.008874099999957252,0.008874099999957252,path,path,path,11,0.0,0.0,False,,,False,1,path,64,4,RL+Path,1,analytic,Analytic (exact secular)
best,C:\Users\erich\Documents\AFRL\Algebraic-Connectivity-Optimization-CDC2026\lite_trials_new\runs\analytic\checkpoints\best.pt,ppo,2000,C:\Users\erich\Documents\AFRL\Algebraic-Connectivity-Optimization-CDC2026\lite_trials_new\configs\analytic.yaml,full,12,0.127272727273,2,18,18,0.12727272727272726,7,0.09061298128858541,1.087355775463025,0.008334899997862522,0.008334899997862522,0.008334899997862522,path,path,path,11,0.0,0.0,False,,,False,1,path,64,4,RL+Path,2,analytic,Analytic (exact secular)
best,C:\Users\erich\Documents\AFRL\Algebraic-Connectivity-Optimization-CDC2026\lite_trials_new\runs\analytic\checkpoints\best.pt,ppo,2000,C:\Users\erich\Documents\AFRL\Algebraic-Connectivity-Optimization-CDC2026\lite_trials_new\configs\analytic.yaml,full,12,0.236363636364,0,24,24,0.23636363636363636,13,0.16765796637766736,2.0118955965320082,0.01888619999954244,0.01888619999954244,0.01888619999954244,path,path,path,11,0.0,0.0,False,,,False,1,path,64,4,RL+Path,0,analytic,Analytic (exact secular)
best,C:\Users\erich\Documents\AFRL\Algebraic-Connectivity-Optimization-CDC2026\lite_trials_new\runs\analytic\checkpoints\best.pt,ppo,2000,C:\Users\erich\Documents\AFRL\Algebraic-Connectivity-Optimization-CDC2026\lite_trials_new\configs\analytic.yaml,full,12,0.236363636364,1,24,24,0.23636363636363636,13,0.16765796637766736,2.0118955965320082,0.015239099997415906,0.015239099997415906,0.015239099997415906,path,path,path,11,0.0,0.0,False,,,False,1,path,64,4,RL+Path,1,analytic,Analytic (exact secular)
best,C:\Users\erich\Documents\AFRL\Algebraic-Connectivity-Optimization-CDC2026\lite_trials_new\runs\analytic\checkpoints\best.pt,ppo,2000,C:\Users\erich\Documents\AFRL\Algebraic-Connectivity-Optimization-CDC2026\lite_trials_new\configs\analytic.yaml,full,12,0.236363636364,2,24,24,0.23636363636363636,13,0.16765796637766736,2.0118955965320082,0.015599800000927644,0.015599800000927644,0.015599800000927644,path,path,path,11,0.0,0.0,False,,,False,1,path,64,4,RL+Path,2,analytic,Analytic (exact secular)
best,C:\Users\erich\Documents\AFRL\Algebraic-Connectivity-Optimization-CDC2026\lite_trials_new\runs\analytic\checkpoints\best.pt,ppo,2000,C:\Users\erich\Documents\AFRL\Algebraic-Connectivity-Optimization-CDC2026\lite_trials_new\configs\analytic.yaml,full,12,0.345454545455,0,30,30,0.34545454545454546,19,0.2599444879908929,3.119333855890715,0.02200259999881382,0.02200259999881382,0.02200259999881382,path,path,path,11,0.0,0.0,False,,,False,1,path,64,4,RL+Path,0,analytic,Analytic (exact secular)
