global_env_steps,update_idx,phase,rl_variant,init_mode,steps_per_sec,elapsed_sec,eta_sec,mean_episode_return,mean_terminal_lambda2_norm,mean_init_edges,mean_init_lambda2,mean_init_build_runtime_sec,mean_init_cache_hit,policy_loss,value_loss,entropy,approx_kl,learning_rate,selector_loss,selector_recall_at_k,selector_k_mean,selector_learning_rate,best_eval_metric
2000,1,phase_lite,full,path,271.0124417614248,7.379734992980957,66.41761493682861,0.3525015853257999,0.3033013407540811,8.90677966101695,0.0,0.0,0.0,-0.0008626783965155482,0.023767567094182596,3.1929378360509872,-0.0002873050980269909,0.00028421052631578947,0.0,0.0,0.0,0.0,0.5734848484848485
4000,3,phase_lite,full,path,182.87847626093642,21.872448205947876,87.4897928237915,0.35900288852299195,0.30806595988476265,9.105,0.0,0.0,0.0,-0.00974178031901829,0.01602714162436314,3.249226488173008,0.004678228549892083,0.00025263157894736836,0.0,0.0,0.0,0.0,0.5734848484848485
6000,5,phase_lite,full,path,162.16091556824688,37.00028443336487,86.33399701118469,0.4356992296387953,0.37193319043193185,9.1,0.0,0.0,0.0,-0.005568081571254879,0.019338322279509157,2.995775729417801,-0.0009440995054319501,0.00022105263157894738,0.0,0.0,0.0,0.0,0.5734848484848485
8000,7,phase_lite,full,path,153.01061751146443,52.28395342826843,78.42593014240265,0.4498450275077398,0.38384676035287857,9.035,0.0,0.0,0.0,-0.0008473290363326669,0.01855487639841158,3.0801028423011303,0.00018021906726062298,0.0001894736842105263,0.0,0.0,0.0,0.0,0.5734848484848485
10000,9,phase_lite,full,path,147.46880374846546,67.81095218658447,67.81095218658447,0.4422481655226732,0.37734575135889986,9.105,0.0,0.0,0.0,-0.003717003623023629,0.011310040034004487,2.953618675470352,0.0010379974264651537,0.00015789473684210527,0.0,0.0,0.0,0.0,0.5734848484848485
12000,11,phase_lite,full,path,144.33291259740804,83.14111995697021,55.42741330464681,0.45132286930615806,0.3850798703351849,9.08,0.0,0.0,0.0,-0.0019820901652565226,0.006244493888516445,2.9468947909772396,0.0008307806492666714,0.00012631578947368418,0.0,0.0,0.0,0.0,0.5734848484848485
14000,13,phase_lite,full,path,142.89896419266168,97.97131896018982,41.987708125795635,0.46226792144683165,0.3941548891818632,9.105,0.0,0.0,0.0,-0.0016578946233494207,0.004693066053732764,2.818131487816572,0.0005678347370121628,9.473684210526315e-05,0.0,0.0,0.0,0.0,0.5734848484848485
16000,15,phase_lite,full,path,141.8904201168002,112.76307439804077,28.190768599510193,0.44261920099278257,0.37762294070559194,9.14,0.0,0.0,0.0,-0.007561325182905421,0.00374250589084113,2.8464563861489296,0.0023465516642318107,6.315789473684209e-05,0.0,0.0,0.0,0.0,0.5734848484848485
18000,17,phase_lite,full,path,141.11791275289355,127.55290699005127,14.172545221116808,0.48904331381273825,0.4162913834580969,9.15,0.0,0.0,0.0,-0.00033170597453135997,0.004211818173644133,2.530277606099844,0.00032250352523988113,3.1578947368421045e-05,0.0,0.0,0.0,0.0,0.5734848484848485
20000,19,phase_lite,full,path,140.1085044346364,142.74650979042053,0.0,0.5172023035961187,0.44016504204846274,9.03,0.0,0.0,0.0,-0.0006626814138144255,0.0028734337392961606,2.6533677391707897,4.6708933950867504e-05,0.0,0.0,0.0,0.0,0.0,0.5734848484848485
2000,1,phase_lite,full,path,265.0553514139716,7.545593738555908,67.91034364700317,0.3525015853257999,0.3033013407540811,8.90677966101695,0.0,0.0,0.0,-0.0008626783965155482,0.023767567094182596,3.1929378360509872,-0.0002873050980269909,0.00028421052631578947,0.0,0.0,0.0,0.0,0.5734848484848485
4000,3,phase_lite,full,path,194.18847231880528,20.59854507446289,82.39418029785156,0.35900288852299195,0.30806595988476265,9.105,0.0,0.0,0.0,-0.00974178031901829,0.01602714162436314,3.249226488173008,0.004678228549892083,0.00025263157894736836,0.0,0.0,0.0,0.0,0.5734848484848485
