method,n,density_bucket,lambda2_mean,lambda2_std,density_points_in_bucket
RL+Backbone,12,dense,9.000000000000002,0.8164965809277336,3
RL+Backbone,12,medium,5.749999999999993,1.0897247358851665,4
RL+Backbone,12,sparse,1.511966128287414,0.545638456235876,3
RL+Backbone,16,dense,12.249999999999996,1.4790199457749074,4
RL+Backbone,16,medium,6.050746978325808,1.571250859978071,3
RL+Backbone,16,sparse,1.5461769795739733,0.7913960158265573,3
RL+Backbone,32,dense,25.499999999999982,3.354101966249695,4
RL+Backbone,32,medium,12.934037729573076,3.347098276465988,3
RL+Backbone,32,sparse,2.8819216590894814,1.8111628591061124,3
RL+Backbone,64,dense,51.999999999999936,7.615773105863926,4
RL+Backbone,64,medium,26.1966768764562,6.33537999911795,3
RL+Backbone,64,sparse,5.807533115502231,4.323465752282482,3
RL+Path,12,dense,8.833702075134134,1.026923812182666,3
RL+Path,12,medium,4.739033940636148,1.0890307896955,4
RL+Path,12,sparse,1.2193045655929382,0.898634994495123,3
RL+Path,16,dense,11.424306090567006,1.8283551660464514,4
RL+Path,16,medium,5.944029149536664,1.2075220828154218,3
RL+Path,16,sparse,1.3429913412127397,1.0205419802719797,3
RL+Path,32,dense,24.38209293613155,4.113589317572013,4
RL+Path,32,medium,12.033393261207204,2.723026533254084,3
RL+Path,32,sparse,2.6716866611531676,2.247896994012628,3
RL+Path,64,dense,50.208090548819925,8.585189815450128,4
RL+Path,64,medium,25.02372329468386,5.608669214416098,3
RL+Path,64,sparse,5.524635868403084,4.689086211322407,3
