method,n,density_bucket,lambda2_mean,lambda2_std,density_points_in_bucket
RL+Backbone,12,dense,8.999999999999998,0.8164965809277231,3
RL+Backbone,12,medium,5.749999999999996,1.0897247358851685,4
RL+Backbone,12,sparse,1.511966128287414,0.545638456235876,3
RL+Backbone,16,dense,12.249999999999996,1.4790199457749083,4
RL+Backbone,16,medium,6.10098107409939,1.5110052034727177,3
RL+Backbone,16,sparse,1.5854390303786021,0.7996006838916508,3
RL+Backbone,32,dense,25.499999999999982,3.354101966249693,4
RL+Backbone,32,medium,12.975515531332652,3.3153178540231596,3
RL+Backbone,32,sparse,2.9140765357253913,1.839354536106593,3
RL+Backbone,64,dense,51.99999999999994,7.615773105863921,4
RL+Backbone,64,medium,26.21294439051742,6.321243346451004,3
RL+Backbone,64,sparse,5.829730280382857,4.35971637515722,3
RL+Path,12,dense,8.918301917870918,0.9200201578455075,3
RL+Path,12,medium,4.873914770450035,1.1002698436251275,4
RL+Path,12,sparse,1.133268730833321,0.7355439315257245,3
RL+Path,16,dense,11.659245731890229,1.982219282494793,4
RL+Path,16,medium,5.809830212136995,1.164756212093002,3
RL+Path,16,sparse,1.435736270998368,1.0871066036266743,3
RL+Path,32,dense,24.876804070977915,4.83126274021394,4
RL+Path,32,medium,11.915966476244284,2.7090311363109563,3
RL+Path,32,sparse,2.710607438700142,2.2477166964867914,3
RL+Path,64,dense,50.23951065278298,8.625794369683545,4
RL+Path,64,medium,25.01505734131905,5.729237136399929,3
RL+Path,64,sparse,5.564447087752371,4.704149150210016,3
