n,density,rho,m,density_actual,rho_actual,rho_conn,rho_conn_actual,m_max,m_actual,repeat_idx,method,method_label,warm_start_mode,completion_method,init_edges,residual_budget,lambda2,runtime_init_s,runtime_complete_s,runtime_lambda2_s,runtime_total_s
8,0.2857142857142857,0.2857142857142857,8,0.2857142857142857,0.2857142857142857,0.047619047619047616,0.047619047619047616,28,8,0,path_mac,MAC,path,mac,7,1,0.3376036697878202,7.802038453519344e-06,0.0041047659469768405,4.522001836448908e-05,0.004157788003794849
8,0.32142857142857145,0.32142857142857145,9,0.32142857142857145,0.32142857142857145,0.09523809523809523,0.09523809523809523,28,9,0,path_mac,MAC,path,mac,7,2,0.5857864376269046,7.10395397618413e-06,0.0030750420410186052,3.203802043572068e-05,0.00311418401543051
8,0.35714285714285715,0.35714285714285715,10,0.35714285714285715,0.35714285714285715,0.14285714285714285,0.14285714285714285,28,10,0,path_mac,MAC,path,mac,7,3,0.9160318901727007,5.131994839757681e-06,0.0030382429831661284,3.141496563330293e-05,0.003074789943639189
8,0.39285714285714285,0.39285714285714285,11,0.39285714285714285,0.39285714285714285,0.19047619047619047,0.19047619047619047,28,11,0,path_mac,MAC,path,mac,7,4,1.2679491924311233,4.708999767899513e-06,0.00301109702559188,3.294798079878092e-05,0.0030487540061585605
8,0.42857142857142855,0.42857142857142855,12,0.42857142857142855,0.42857142857142855,0.23809523809523808,0.23809523809523808,28,12,0,path_mac,MAC,path,mac,7,5,1.3344199306231965,4.95504355058074e-06,0.003017668961547315,3.041501622647047e-05,0.0030530390213243663
8,0.4642857142857143,0.4642857142857143,13,0.4642857142857143,0.4642857142857143,0.2857142857142857,0.2857142857142857,28,13,0,path_mac,MAC,path,mac,7,6,1.5857864376269037,4.664005246013403e-06,0.004042897955514491,9.460397996008396e-05,0.004142165940720588
8,0.5,0.5,14,0.5,0.5,0.3333333333333333,0.3333333333333333,28,14,0,path_mac,MAC,path,mac,7,7,1.4384471871911706,1.0681978892534971e-05,0.0031006700010038912,3.550801193341613e-05,0.0031468599918298423
8,0.5357142857142857,0.5357142857142857,15,0.5357142857142857,0.5357142857142857,0.38095238095238093,0.38095238095238093,28,15,0,path_mac,MAC,path,mac,7,8,2.000000000000001,6.506976205855608e-06,0.0030399240204133093,3.274501068517566e-05,0.0030791760073043406
8,0.5714285714285714,0.5714285714285714,16,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.42857142857142855,28,16,0,path_mac,MAC,path,mac,7,9,2.1300649496364987,4.566041752696037e-06,0.0030289669521152973,2.7358997613191605e-05,0.003060891991481185
8,0.6071428571428571,0.6071428571428571,17,0.6071428571428571,0.6071428571428571,0.47619047619047616,0.47619047619047616,28,17,0,path_mac,MAC,path,mac,7,10,2.585786437626904,4.59898728877306e-06,0.0030294489697553217,2.6936992071568966e-05,0.0030609849491156638
8,0.6428571428571429,0.6428571428571429,18,0.6428571428571429,0.6428571428571429,0.5238095238095238,0.5238095238095238,28,18,0,path_mac,MAC,path,mac,7,11,2.5857864376268997,4.382978659123182e-06,0.0030358610092662275,2.7358997613191605e-05,0.0030676029855385423
8,0.6785714285714286,0.6785714285714286,19,0.6785714285714286,0.6785714285714286,0.5714285714285714,0.5714285714285714,28,19,0,path_mac,MAC,path,mac,7,12,3.5188056959079836,4.597008228302002e-06,0.0030382220284081995,2.800102811306715e-05,0.0030708200647495687
8,0.7142857142857143,0.7142857142857143,20,0.7142857142857143,0.7142857142857143,0.6190476190476191,0.6190476190476191,28,20,0,path_mac,MAC,path,mac,7,13,2.90213320977716,4.443048965185881e-06,0.0030624879873357713,2.6473018806427717e-05,0.003093404055107385
8,0.75,0.75,21,0.75,0.75,0.6666666666666666,0.6666666666666666,28,21,0,path_mac,MAC,path,mac,7,14,3.6570769172228266,4.558009095489979e-06,0.0030454539810307324,2.6968016754835844e-05,0.003076980006881058
8,0.7857142857142857,0.7857142857142857,22,0.7857142857142857,0.7857142857142857,0.7142857142857143,0.7142857142857143,28,22,0,path_mac,MAC,path,mac,7,15,4.381966011250102,4.493980668485165e-06,0.0030454570078291,2.699700416997075e-05,0.003076947992667556
8,0.8214285714285714,0.8214285714285714,23,0.8214285714285714,0.8214285714285714,0.7619047619047619,0.7619047619047619,28,23,0,path_mac,MAC,path,mac,7,16,4.585786437626906,4.350964445620775e-06,0.0030343490070663393,2.5920046027749777e-05,0.00306462001753971
8,0.8571428571428571,0.8571428571428571,24,0.8571428571428571,0.8571428571428571,0.8095238095238095,0.8095238095238095,28,24,0,path_mac,MAC,path,mac,7,17,4.999999999999999,4.449975676834583e-06,0.0030131470412015915,2.8685026336461306e-05,0.0030462820432148874
8,0.8928571428571429,0.8928571428571429,25,0.8928571428571429,0.8928571428571429,0.8571428571428571,0.8571428571428571,28,25,0,path_mac,MAC,path,mac,7,18,4.585786437626904,4.492991138249636e-06,0.0030262809596024454,3.083900082856417e-05,0.003061612951569259
8,0.9285714285714286,0.9285714285714286,26,0.9285714285714286,0.9285714285714286,0.9047619047619048,0.9047619047619048,28,26,0,path_mac,MAC,path,mac,7,19,6.0,4.482979420572519e-06,0.0030408459715545177,2.853298792615533e-05,0.0030738619389012456
8,0.9642857142857143,0.9642857142857143,27,0.9642857142857143,0.9642857142857143,0.9523809523809523,0.9523809523809523,28,27,0,path_mac,MAC,path,mac,7,20,6.0,4.740024451166391e-06,0.0030868080211803317,2.5430985260754824e-05,0.003116979030892253
