method,n,delta_lambda2_mean_over_density,delta_lambda2_std_over_density,delta_lambda2_pct_mean_over_density,delta_lambda2_pct_std_over_density,win_pct_vs_rl_path_over_all_points,tie_pct_vs_rl_path_over_all_points,win_count,tie_count,total_points,density_points,avg_repeats_per_point
RL+Backbone,8,0.2842054413933583,0.45515868559418027,13.39169381720204,23.269005433886665,35.0,55.0,35,55,100,20,5.0
RL+Backbone,16,0.37919997444658365,0.5366148294531833,19.600334054780472,81.89697633180738,61.0,14.0,305,70,500,100,5.0
RL+Backbone,32,0.5860964037838109,0.681160242159462,35.91150698747918,253.1328253502002,68.2,5.0,341,25,500,100,5.0
RL+Backbone,64,0.8691160374249938,0.9655648681630343,108.31581607437025,1023.0339466022704,71.2,3.0,356,15,500,100,5.0
RL+Backbone,128,1.3393286813891268,1.7955237213666204,416.04565256355795,4120.010260038515,65.2,2.0,326,10,500,100,5.0
RL+Path,8,0.0,0.0,0.0,0.0,0.0,100.0,0,100,100,20,5.0
RL+Path,16,0.0,0.0,0.0,0.0,0.0,100.0,0,500,500,100,5.0
RL+Path,32,0.0,0.0,0.0,0.0,0.0,100.0,0,500,500,100,5.0
RL+Path,64,0.0,0.0,0.0,0.0,0.0,100.0,0,500,500,100,5.0
RL+Path,128,0.0,0.0,0.0,0.0,0.0,100.0,0,500,500,100,5.0
