method,n,runtime_mean_over_density_s,runtime_std_over_density_s,density_points,avg_repeats_per_point,min_repeats_per_point,max_repeats_per_point
FVG,8,0.0013769050111295657,0.0006790461922275041,20,5.0,5,5
FVG,16,0.007456775614060461,0.0041815100291091286,100,5.0,5,5
FVG,32,0.10211839799617882,0.05891802875510964,100,5.0,5,5
FVG,64,0.9266341418161754,0.5449721692888168,100,5.0,5,5
FVG,128,24.05661602558254,15.09556606678134,100,5.0,5,5
MAC,8,0.003072794309118763,6.510483584058523e-05,20,5.0,5,5
MAC,16,0.0046501062549650675,5.473433396154204e-05,100,5.0,5,5
MAC,32,0.019464967549662107,0.0009454150364468575,100,5.0,5,5
MAC,64,0.060558197923819536,0.039523357391349836,100,5.0,5,5
MAC,128,0.21007584097527432,0.09909281575679975,100,5.0,5,5
MDMD,8,0.0008587805822025984,0.0004261742451852158,20,5.0,5,5
MDMD,16,0.0054193944727303454,0.0032297540328327214,100,5.0,5,5
MDMD,32,0.04918897450377698,0.03193055621605584,100,5.0,5,5
MDMD,64,0.40826448381063524,0.2985262255161556,100,5.0,5,5
MDMD,128,5.141210539267049,4.086030165121177,100,5.0,5,5
WTS,8,0.5471052986377618,0.2777498594527164,20,5.0,5,5
WTS,16,1.0049905516688014,0.5084032564114189,100,5.0,5,5
WTS,32,2.1437937950572232,1.1617435833423542,100,5.0,5,5
WTS,64,5.53369248465181,3.2083073254909147,100,5.0,5,5
WTS,128,19.778575597072837,11.853295765573694,100,5.0,5,5
k-opt,8,0.0519532548089046,0.04369228310770356,20,5.0,5,5
k-opt,16,0.40378463097801437,0.2684873906011574,100,5.0,5,5
k-opt,32,2.7015957588277524,2.08711394547185,100,5.0,5,5
k-opt,64,8.602762486558989,6.7201361701392806,100,5.0,5,5
k-opt,128,38.7815912935097,23.809856487788227,100,5.0,5,5
SDP-step,8,0.14773648698697797,0.06985184984892649,20,5.0,5,5
SDP-step,16,1.4189777960040373,0.6990165794451553,100,5.0,5,5
SDP-step,32,24.883129503705067,11.114337311954408,100,5.0,5,5
OA-PMC,8,10.62463888435741,6.705471886318683,20,5.0,5,5
