method,n,delta_lambda2_mean_over_density,delta_lambda2_std_over_density,delta_lambda2_pct_mean_over_density,delta_lambda2_pct_std_over_density,win_pct_vs_fvg_over_all_points,tie_pct_vs_fvg_over_all_points,win_count,tie_count,total_points,density_points,avg_repeats_per_point
FVG,8,0.0,0.0,0.0,0.0,0.0,100.0,0,100,100,20,5.0
FVG,16,0.0,0.0,0.0,0.0,0.0,100.0,0,500,500,100,5.0
FVG,32,0.0,0.0,0.0,0.0,0.0,100.0,0,500,500,100,5.0
FVG,64,0.0,0.0,0.0,0.0,0.0,100.0,0,500,500,100,5.0
FVG,128,0.0,0.0,0.0,0.0,0.0,100.0,0,500,500,100,5.0
MAC,8,-0.4717381340509326,0.4110373694245972,-16.64268758513993,12.985848839380914,0.0,25.0,0,25,100,20,5.0
MAC,16,-1.2686278600153447,0.6455396336686415,-24.86930577323372,15.811345126334135,1.0,2.0,5,10,500,100,5.0
MAC,32,-3.031459479300289,1.4189943068582898,-33.13327635254308,20.177591075932487,0.0,2.0,0,10,500,100,5.0
MAC,64,-6.6078492301917615,3.1134751986383837,-37.22910691520574,26.358600020430426,0.0,1.0,0,5,500,100,5.0
MAC,128,-13.501464291488968,6.325512073758411,-39.47881595889857,30.862746456590386,0.0,1.0,0,5,500,100,5.0
MDMD,8,-0.0833664133549128,0.35479501098388255,-2.163232044684522,7.4757097566325745,10.0,50.0,10,50,100,20,5.0
MDMD,16,-0.47279619093651026,0.39719869761610743,-8.12297186559929,8.207235275355458,7.0,12.0,35,60,500,100,5.0
MDMD,32,-1.0885620101669637,0.7346639035687961,-9.02950209567789,5.857063382527111,4.0,5.0,20,25,500,100,5.0
MDMD,64,-2.14842907640793,1.4854241978706775,-8.782111806363655,5.15492590310911,1.0,3.0,5,15,500,100,5.0
MDMD,128,-3.8860789854963773,2.4904441671044797,-6.4951548057096025,18.510662420722294,1.0,1.0,5,5,500,100,5.0
WTS,8,0.27039606582978165,0.359545314268981,11.447520153333771,17.38606053487406,50.0,50.0,50,50,100,20,5.0
WTS,16,0.17904193176014752,0.21841371510732888,6.741704683921018,10.662579510125473,83.0,12.4,415,62,500,100,5.0
WTS,32,-0.22726612357220077,0.3074544020394341,-0.1423241582332944,7.013825754747949,12.4,2.4,62,12,500,100,5.0
WTS,64,-0.7604225937575787,0.6252517804708861,-2.6318198806453275,2.4837697547432027,2.4,2.0,12,10,500,100,5.0
WTS,128,-1.6344849009987248,1.1172488915255352,-1.6915769289788207,17.4667443754,1.0,1.0,5,5,500,100,5.0
k-opt,8,0.18628928563539926,0.2902312710746882,8.454135810243818,16.148861345768264,45.0,55.0,45,55,100,20,5.0
k-opt,16,0.19966440478758984,0.1626093687664049,4.933422150861628,7.515873439348754,81.0,19.0,405,95,500,100,5.0
k-opt,32,0.12718784166862715,0.12825097137492264,1.3810360781852171,2.483566315272046,90.0,10.0,450,50,500,100,5.0
k-opt,64,0.04208745140117827,0.05451127939525592,0.3389336158693219,0.9311792131008962,80.0,20.0,400,100,500,100,5.0
k-opt,128,0.012871269916219093,0.021252221440422586,0.3983515037920158,3.421847802708263,58.2,8.0,291,40,500,100,5.0
SDP-step,8,0.07826718290293042,0.5730929067529454,1.6196798325552255,18.86173486100048,30.0,40.0,30,40,100,20,5.0
SDP-step,16,0.2883383184056739,0.5659948263649834,3.9105294956275434,12.501748030793342,67.0,11.0,335,55,500,100,5.0
SDP-step,32,0.39441388214922524,0.7095034384958046,1.4573395025106803,10.30112530941796,71.0,4.0,355,20,500,100,5.0
OA-PMC,8,0.3111067439484361,0.3953592889230527,15.711193035449458,22.188336053690684,55.0,45.0,55,45,100,20,5.0
