method,n,density_points_old,density_points_new,lambda2_old_mean_over_density,lambda2_new_mean_over_density,runtime_old_mean_over_density_s,runtime_old_std_over_density_s,runtime_new_mean_over_density_s,runtime_new_std_over_density_s,runtime_speedup_old_over_new
RL+Backbone,8,20,22,3.594507353689881,3.6561817735029662,0.005718388997483999,0.0032855975877738694,0.0045756039059735056,0.0033259258085454172,1.2497561229062186
RL+Backbone,16,100,100,7.223303908932344,7.239703883615626,0.011001003344776111,0.006072869132727228,0.010334506368031729,0.006249467655997364,1.064492386284273
RL+Backbone,32,100,100,14.829073415217495,14.833792943657826,0.027358979670330887,0.014225256221436023,0.029111525217536842,0.016825593822403253,0.9397989100842364
RL+Backbone,64,100,100,30.172398453448714,30.177815671791514,0.1215805349134607,0.058968935815964456,0.11767169058090075,0.06414600127374218,1.033218221929705
RL+Backbone,128,100,100,61.08239109604349,61.07609445777221,0.7677424180194504,0.4290777478841298,0.6589359448812903,0.344179398910271,1.1651245071442597
RL+Path,8,20,22,3.3103019122965227,3.375179020964187,0.023269065209315154,0.029229202876037915,0.017061944091551456,0.009701148618424214,1.3637991710942994
RL+Path,16,100,100,6.844103934485761,6.805199689534543,0.08780112019542137,0.05051907376297144,0.10170788610121234,0.05753399105285594,0.8632675750241042
RL+Path,32,100,100,14.242977011433682,14.1637168387219,0.47422868989664124,0.2875378380774862,0.6548111866761466,0.3766743428016721,0.7242220346048899
RL+Path,64,100,100,29.30328241602372,29.27963278297274,3.1000014502981212,2.039419044914224,4.111424105126644,2.467457085231407,0.7539970022631932
RL+Path,128,100,100,59.743062414654354,59.84823188961584,35.467312926056564,28.067405894097295,40.91684736566199,26.548446575588414,0.8668144104333231
