method,n,matched_density_points,matched_paired_points,lambda2_old_mean_over_density,lambda2_new_mean_over_density,delta_lambda2_mean_over_density,delta_lambda2_std_over_density,delta_lambda2_pct_mean_over_density,delta_lambda2_pct_std_over_density,win_pct_new_vs_old,tie_pct_new_vs_old,loss_pct_new_vs_old,win_count,tie_count,loss_count,runtime_old_mean_over_density_s,runtime_new_mean_over_density_s,runtime_speedup_old_over_new
RL+Backbone,8,20,100,3.594507353689881,3.5717999508532627,-0.02270740283661827,0.06277805022582367,-1.6194767519937987,4.810325931956163,1.0,87.0,12.0,1,87,12,0.005718388997483999,0.0050200642115669335,1.1391067437559916
RL+Backbone,16,94,470,7.240068711390791,7.2228269089636346,-0.017241802427156117,0.06587749149254611,-0.7535787525788503,3.5005708282475467,4.25531914893617,79.7872340425532,15.957446808510639,20,375,75,0.010972755539795742,0.010415543052070635,1.0534981695087258
RL+Backbone,32,50,250,14.783780611181776,14.771359010850212,-0.012421600331560822,0.042225520435816656,-0.11789170465125558,0.3711808025740999,7.6,74.8,17.599999999999998,19,187,44,0.0293030540519394,0.031068373924586928,0.9431795214988549
RL+Backbone,64,48,240,30.014307637977538,29.987949792217666,-0.026357845759865082,0.11759569104260968,-0.061518395447450684,0.318767518677088,17.916666666666668,49.166666666666664,32.916666666666664,43,118,79,0.13164691094910572,0.12860998297983314,1.0236134699570623
RL+Backbone,128,44,220,60.8722880878988,60.84787685752968,-0.024411230369124962,0.05647627831303186,-0.04628710921509787,0.09084062578800738,17.727272727272727,35.0,47.27272727272727,39,77,104,0.8406998364450622,0.7205544264367993,1.1667402289128828
RL+Path,8,20,100,3.3103019122965227,3.305084876311734,-0.005217035984788798,0.2913762068876229,-1.5409319470304852,10.511269162971594,15.0,65.0,20.0,15,65,20,0.023269065209315154,0.01716181699861772,1.355862564621761
RL+Path,16,94,470,6.846848277201638,6.782453451639231,-0.0643948255624069,0.21840530786267304,-2.624903552148497,6.780682735520404,32.97872340425532,12.76595744680851,54.25531914893617,155,60,255,0.0878008999544731,0.10180559772626556,0.8624368592241045
RL+Path,32,50,250,14.044789284568937,13.980487253620158,-0.06430203094877857,0.13523825291830524,-0.8086955366456737,1.3072098809943207,34.0,0.0,66.0,85,0,165,0.4692092428929172,0.6575020634299145,0.7136239853685751
RL+Path,64,48,240,28.890616819401604,28.930639449731846,0.040022630330244585,0.37211980484738116,0.00774347777304335,1.3014087373901002,39.58333333333333,0.0,60.416666666666664,95,0,145,3.0014987997208666,4.084373899360071,0.7348736608543928
RL+Path,128,44,220,59.088184112416386,59.26165781295483,0.17347370053845879,0.3810584932060668,0.1274930501508756,0.5863730352005319,61.36363636363637,0.0,38.63636363636363,135,0,85,32.28348887026289,39.50128246540447,0.817276980779979
