method,n,runtime_mean_over_density_s,runtime_std_over_density_s,density_points,avg_repeats_per_point,min_repeats_per_point,max_repeats_per_point
RL+Backbone,8,0.005718388997483999,0.0032855975877738694,20,5.0,5,5
RL+Backbone,16,0.011001003344776111,0.006072869132727228,100,5.0,5,5
RL+Backbone,32,0.027358979670330887,0.014225256221436023,100,5.0,5,5
RL+Backbone,64,0.1215805349134607,0.058968935815964456,100,5.0,5,5
RL+Backbone,128,0.7677424180194504,0.4290777478841298,100,5.0,5,5
RL+Path,8,0.023269065209315154,0.029229202876037915,20,5.0,5,5
RL+Path,16,0.08780112019542137,0.05051907376297144,100,5.0,5,5
RL+Path,32,0.47422868989664124,0.2875378380774862,100,5.0,5,5
RL+Path,64,3.1000014502981212,2.039419044914224,100,5.0,5,5
RL+Path,128,35.467312926056564,28.067405894097295,100,5.0,5,5
