method,n,runtime_mean_over_density_s,runtime_std_over_density_s,density_points,avg_repeats_per_point,min_repeats_per_point,max_repeats_per_point
RL+Backbone,8,0.0045756039059735056,0.0033259258085454172,22,22.727272727272727,15,25
RL+Backbone,16,0.010334506368031729,0.006249467655997364,100,5.0,5,5
RL+Backbone,32,0.029111525217536842,0.016825593822403253,100,5.0,5,5
RL+Backbone,64,0.11767169058090075,0.06414600127374218,100,5.0,5,5
RL+Backbone,128,0.6589359448812903,0.344179398910271,100,5.0,5,5
RL+Path,8,0.017061944091551456,0.009701148618424214,22,22.727272727272727,15,25
RL+Path,16,0.10170788610121234,0.05753399105285594,100,5.0,5,5
RL+Path,32,0.6548111866761466,0.3766743428016721,100,5.0,5,5
RL+Path,64,4.111424105126644,2.467457085231407,100,5.0,5,5
RL+Path,128,40.91684736566199,26.548446575588414,100,5.0,5,5
