method,n,delta_lambda2_mean_over_density,delta_lambda2_std_over_density,delta_lambda2_pct_mean_over_density,delta_lambda2_pct_std_over_density,win_pct_vs_rl_path_over_all_points,tie_pct_vs_rl_path_over_all_points,win_count,tie_count,total_points,density_points,avg_repeats_per_point
RL+Backbone,8,0.2810027525387796,0.4453413284286672,38.200657429965354,115.62759854125457,45.0,40.0,225,200,500,22,22.727272727272727
RL+Backbone,16,0.43450419408108226,0.5270834535643109,47.65237633185636,260.1254294802633,70.0,9.0,350,45,500,100,5.0
RL+Backbone,32,0.6700761049359276,0.6688142168910541,116.92665124693616,1024.159752695746,75.8,3.0,379,15,500,100,5.0
RL+Backbone,64,0.8981828888187713,0.9211308939487073,421.2686481657285,4119.653987981573,75.4,1.0,377,5,500,100,5.0
RL+Backbone,128,1.2278625681563744,1.5440123693535046,1661.3114973979934,16507.916302603087,67.6,1.0,338,5,500,100,5.0
RL+Path,8,0.0,0.0,0.0,0.0,0.0,100.0,0,500,500,22,22.727272727272727
RL+Path,16,0.0,0.0,0.0,0.0,0.0,100.0,0,500,500,100,5.0
RL+Path,32,0.0,0.0,0.0,0.0,0.0,100.0,0,500,500,100,5.0
RL+Path,64,0.0,0.0,0.0,0.0,0.0,100.0,0,500,500,100,5.0
RL+Path,128,0.0,0.0,0.0,0.0,0.0,100.0,0,500,500,100,5.0
